sr_no,bank_name,total_volume_mn,approved_pct,bd_pct,td_pct,reversal_count_mn,reversal_success_pct,source_month
1,State Bank of India,"4,972.91",93.87%,5.88%,0.25%,12.1,95.08%,05
2,HDFC Bank Ltd.,"1,512.37",95.02%,4.86%,0.12%,2.2799999999999998,99.93%,05
3,Bank of Baroda,"1,262.84",91.27%,8.64%,0.09%,2.65,98.59%,05
4,Union Bank of India,"1,168.19",93.20%,6.72%,0.09%,2.44,94.06%,05
5,Punjab National Bank,"1,068.01",92.60%,7.20%,0.20%,2.57,96.74%,05
6,Kotak Mahindra Bank,927.5,92.40%,7.51%,0.09%,1.84,61.98%,05
7,Canara Bank,903.21,93.09%,6.84%,0.07%,1.87,89.90%,05
8,Axis Bank Ltd.,852.6,94.85%,5.15%,0.00%,1.38,99.76%,05
9,ICICI Bank Ltd.,713.35,96.15%,3.84%,0.01%,1.01,98.36%,05
10,Indian Bank,593.72,92.95%,6.74%,0.31%,1.21,90.40%,05
11,Bank Of India,587.21,92.56%,6.44%,0.99%,2.86,53.96%,05
12,India Post Payments Bank Limited,576.1,89.08%,10.71%,0.21%,1.72,92.44%,05
13,Airtel Payments Bank Limited,573.79,86.66%,12.92%,0.42%,2.11,91.48%,05
14,Indian Overseas Bank,298.89999999999998,92.95%,6.75%,0.30%,0.66,96.66%,05
15,Central Bank of India,265.24,88.88%,10.60%,0.52%,0.85,92.13%,05
16,UCO Bank,259.36,91.65%,8.20%,0.15%,0.66,89.51%,05
17,Federal Bank Ltd.,251.18,93.02%,6.87%,0.11%,0.4,98.36%,05
18,Fino Payments Bank Ltd.,213.85,88.43%,11.33%,0.23%,0.81,72.70%,05
19,Bank of Maharashtra,204.66,93.47%,6.36%,0.18%,0.57999999999999996,74.16%,05
20,Indusind Bank Ltd.,203.19,90.35%,9.48%,0.16%,0.61,74.39%,05
21,IDBI Bank Ltd.,199.11,93.43%,6.10%,0.47%,0.72,85.19%,05
22,Yes Bank Ltd.,175.35,92.04%,7.87%,0.09%,0.26,78.73%,05
23,Karnataka Bank,140.77000000000001,92.33%,7.45%,0.21%,0.34,81.09%,05
24,IDFC Bank Ltd.,113.06,93.44%,6.51%,0.05%,0.22,90.55%,05
